kernelversion,contributor,value,Percentage
Linux-6.19(on-going),Unknown,4269,33.89
Linux-6.19(on-going),Intel,1439,11.42
Linux-6.19(on-going),Renesas Electronics,737,5.85
Linux-6.19(on-going),Google,537,4.26
Linux-6.19(on-going),AMD,516,4.10
Linux-6.19(on-going),Red Hat,470,3.73
Linux-6.19(on-going),QUALCOMM,425,3.37
Linux-6.19(on-going),Novell,415,3.29
Linux-6.19(on-going),NVIDIA,341,2.71
Linux-6.19(on-going),NXP,289,2.29
Linux-6.19(on-going),Linaro,287,2.28
Linux-6.19(on-going),Huawei,207,1.64
Linux-6.19(on-going),Oracle,182,1.44
Linux-6.19(on-going),IBM,166,1.32
Linux-6.19(on-going),Bootlin,155,1.23
Linux-6.19(on-going),Collabora,117,0.93
Linux-6.19(on-going),Hovold Consulting AB,114,0.90
Linux-6.19(on-going),ARM,111,0.88
Linux-6.19(on-going),Kylin Software,106,0.84
Linux-6.19(on-going),Hobbyists,100,0.79
Linux-6.19(on-going),Linutronix,99,0.79
Linux-6.19(on-going),Academics,97,0.77
Linux-6.19(on-going),Ideas on board,90,0.71
Linux-6.19(on-going),Cirrus Logic,90,0.71
Linux-6.19(on-going),MediaTek,66,0.52
Linux-6.19(on-going),Microsoft,63,0.50
Linux-6.19(on-going),Texas Instruments,58,0.46
Linux-6.19(on-going),Ericsson,58,0.46
Linux-6.19(on-going),Microchip Technology Inc.,51,0.40
Linux-6.19(on-going),ACM,50,0.40
Linux-6.19(on-going),Analog Devices,48,0.38
Linux-6.19(on-going),Realtek,48,0.38
Linux-6.19(on-going),Baylibre,46,0.37
Linux-6.19(on-going),Loongson,42,0.33
Linux-6.19(on-going),Broadcom,41,0.33
Linux-6.19(on-going),Alibaba,37,0.29
Linux-6.19(on-going),Altera,34,0.27
Linux-6.19(on-going),Debian,34,0.27
Linux-6.19(on-going),igalia,32,0.25
Linux-6.19(on-going),Pengutronix,31,0.25
Linux-6.19(on-going),Samsung,31,0.25
Linux-6.19(on-going),Rockchip,30,0.24
Linux-6.19(on-going),General Electric,27,0.21
Linux-6.19(on-going),STMicroelectronics,26,0.21
Linux-6.19(on-going),ByteDance,25,0.20
Linux-6.19(on-going),Western Digital,23,0.18
Linux-6.19(on-going),Inspur,21,0.17
Linux-6.19(on-going),OPPO,21,0.17
Linux-6.19(on-going),ZTE,20,0.16
Linux-6.19(on-going),vivo,18,0.14
Linux-6.19(on-going),Synaptics,17,0.13
Linux-6.19(on-going),Tencent,16,0.13
Linux-6.19(on-going),Cybernetics,16,0.13
Linux-6.19(on-going),PHYTEC,14,0.11
Linux-6.19(on-going),Xiaomi,13,0.10
Linux-6.19(on-going),Marvell,12,0.10
Linux-6.19(on-going),Facebook,12,0.10
Linux-6.19(on-going),China Mobile,10,0.08
Linux-6.19(on-going),Astaro,9,0.07
Linux-6.19(on-going),LWN,9,0.07
Linux-6.19(on-going),Linux Foundation,8,0.06
Linux-6.19(on-going),LG Electonics,8,0.06
Linux-6.19(on-going),EXOSEC,7,0.06
Linux-6.19(on-going),Baidu,6,0.05
Linux-6.19(on-going),Amazon,6,0.05
Linux-6.19(on-going),Savoir-faire Linux,6,0.05
Linux-6.19(on-going),MEV Limited,6,0.05
Linux-6.19(on-going),NTT,5,0.04
Linux-6.19(on-going),Volkswagen,5,0.04
Linux-6.19(on-going),Canonical,4,0.03
Linux-6.19(on-going),Micron,4,0.03
Linux-6.19(on-going),UnionTech,4,0.03
Linux-6.19(on-going),Cadence Design Systems,4,0.03
Linux-6.19(on-going),Toshiba,4,0.03
Linux-6.19(on-going),Amarula Solutions,3,0.02
Linux-6.19(on-going),Vision Systems,3,0.02
Linux-6.19(on-going),XS4ALL Internet bv,3,0.02
Linux-6.19(on-going),Infineon Technologies AG,3,0.02
Linux-6.19(on-going),LSI,3,0.02
Linux-6.19(on-going),SmartX,3,0.02
Linux-6.19(on-going),China Telecom,3,0.02
Linux-6.19(on-going),Glider bvba,3,0.02
Linux-6.19(on-going),Bosch,2,0.02
Linux-6.19(on-going),Traverse Technologies,2,0.02
Linux-6.19(on-going),Siemens,2,0.02
Linux-6.19(on-going),INRIA,2,0.02
