厂商域名,公司名称,提交数量
kernel.org,kernel.org,8201
gmail.com,gmail.com,6871
intel.com,intel.com,5290
amd.com,amd.com,3577
google.com,google.com,3058
linaro.org,linaro.org,2850
redhat.com,redhat.com,2498
linux.intel.com,linux.intel.com,2300
nvidia.com,nvidia.com,1850
linux.dev,linux.dev,1594
oss.qualcomm.com,oss.qualcomm.com,1263
suse.com,suse.com,1222
huawei.com,Huawei,1159
nxp.com,nxp.com,1151
quicinc.com,quicinc.com,1149
suse.de,suse.de,1054
linutronix.de,linutronix.de,1031
renesas.com,renesas.com,912
linux.ibm.com,linux.ibm.com,880
arm.com,arm.com,859
infradead.org,infradead.org,819
collabora.com,collabora.com,808
oracle.com,oracle.com,774
bootlin.com,bootlin.com,630
bp.renesas.com,bp.renesas.com,595
baylibre.com,baylibre.com,581
ti.com,ti.com,517
lst.de,lst.de,486
kylinos.cn,Kylin Software,443
armlinux.org.uk,armlinux.org.uk,440
ideasonboard.com,ideasonboard.com,406
chromium.org,chromium.org,403
zeniv.linux.org.uk,zeniv.linux.org.uk,399
realtek.com,realtek.com,357
mediatek.com,mediatek.com,353
broadcom.com,broadcom.com,353
vivo.com,vivo,339
loongson.cn,Loongson,332
gondor.apana.org.au,gondor.apana.org.au,324
igalia.com,igalia.com,313
opensource.cirrus.com,opensource.cirrus.com,309
microchip.com,microchip.com,291
iscas.ac.cn,iscas.ac.cn,283
goodmis.org,goodmis.org,275
treblig.org,treblig.org,274
glider.be,glider.be,264
arndb.de,arndb.de,263
samba.org,samba.org,245
linux.microsoft.com,linux.microsoft.com,233
linux.alibaba.com,Alibaba,230
pengutronix.de,pengutronix.de,224
amazon.com,amazon.com,221
analog.com,analog.com,217
sang-engineering.com,sang-engineering.com,216
foss.st.com,foss.st.com,216
weissschuh.net,weissschuh.net,212
samsung.com,samsung.com,205
rock-chips.com,Rockchip,203
purestorage.com,purestorage.com,199
kernel.dk,kernel.dk,190
debian.org,debian.org,186
ew.tq-group.com,ew.tq-group.com,161
fairphone.com,fairphone.com,148
163.com,163.com,147
wdc.com,wdc.com,142
bytedance.com,ByteDance,140
wanadoo.fr,wanadoo.fr,132
neverthere.org,neverthere.org,132
disroot.org,disroot.org,129
rivosinc.com,rivosinc.com,129
tencent.com,Tencent,124
canonical.com,canonical.com,122
mailbox.org,mailbox.org,121
microsoft.com,microsoft.com,119
meta.com,meta.com,110
uniontech.com,UnionTech,109
lwn.net,lwn.net,108
roeck-us.net,roeck-us.net,107
outlook.com,outlook.com,105
linux-foundation.org,linux-foundation.org,103
ventanamicro.com,ventanamicro.com,101
zte.com.cn,ZTE,100
ragnatech.se,ragnatech.se,100
marvell.com,marvell.com,97
acm.org,acm.org,97
gmx.de,gmx.de,96
suse.cz,suse.cz,96
sntech.de,sntech.de,95
toradex.com,toradex.com,90
inspur.com,Inspur,87
amlogic.com,amlogic.com,87
strlen.de,strlen.de,86
gmx.net,gmx.net,83
antgroup.com,antgroup.com,80
brown.name,brown.name,77
hammerspace.com,hammerspace.com,76
digikod.net,digikod.net,74
public-files.de,public-files.de,73
huaweicloud.com,Huawei,73
nbd.name,nbd.name,72
altera.com,altera.com,71
sakamocchi.jp,sakamocchi.jp,70
fomichev.me,fomichev.me,67
hisilicon.com,hisilicon.com,66
cherry.de,cherry.de,65
linuxfoundation.org,linuxfoundation.org,64
sifive.com,sifive.com,64
makrotopia.org,makrotopia.org,63
csgroup.eu,csgroup.eu,62
fb.com,fb.com,62
trustnetic.com,trustnetic.com,62
posteo.net,posteo.net,60
kwiboo.se,kwiboo.se,60
googlemail.com,googlemail.com,59
proton.me,proton.me,57
phytec.de,phytec.de,56
ispras.ru,ispras.ru,56
jannau.net,jannau.net,55
amarulasolutions.com,amarulasolutions.com,54
ionos.com,ionos.com,53
antheas.dev,antheas.dev,52
codeconstruct.com.au,codeconstruct.com.au,52
hotmail.com,hotmail.com,52
cisco.com,cisco.com,52
wunner.de,wunner.de,51
zytor.com,zytor.com,49
marcan.st,marcan.st,49
aspeedtech.com,aspeedtech.com,48
riscstar.com,riscstar.com,48
soleen.com,soleen.com,48
csie.org,csie.org,48
qq.com,qq.com,47
alien8.de,alien8.de,47
lankhorst.se,lankhorst.se,47
paul-moore.com,paul-moore.com,46
protonmail.com,protonmail.com,45
yandex.ru,yandex.ru,44
xiaomi.com,Xiaomi,43
baidu.com,Baidu,43
jmu.edu.cn,jmu.edu.cn,43
queasysnail.net,queasysnail.net,43
rbox.co,rbox.co,42
norik.com,norik.com,42
sk.com,sk.com,41
gentoo.org,gentoo.org,40
openvpn.net,openvpn.net,40
ixit.cz,ixit.cz,39
xs4all.nl,xs4all.nl,39
oss.nxp.com,oss.nxp.com,38
davidwei.uk,davidwei.uk,38
minyard.net,minyard.net,38
manguebit.org,manguebit.org,37
cloudflare.com,cloudflare.com,37
mainlining.org,mainlining.org,36
os.amperecomputing.com,os.amperecomputing.com,34
mt-integration.ru,mt-integration.ru,34
windriver.com,windriver.com,33
siemens.com,siemens.com,33
axis.com,axis.com,33
apitzsch.eu,apitzsch.eu,33
codeweavers.com,codeweavers.com,33
lucaweiss.eu,lucaweiss.eu,32
yahoo.com,yahoo.com,32
denx.de,denx.de,32
fujitsu.com,fujitsu.com,31
iki.fi,iki.fi,31
cmss.chinamobile.com,China Mobile,31
zohomail.com,zohomail.com,31
live.com,live.com,31
imgtec.com,imgtec.com,30
sony.com,sony.com,30
ellerman.id.au,ellerman.id.au,30
linux-m68k.org,linux-m68k.org,29
unisoc.com,unisoc.com,29
ethancedwards.com,ethancedwards.com,29
cixtech.com,cixtech.com,28
prolan.hu,prolan.hu,28
gourry.net,gourry.net,28
dujemihanovic.xyz,dujemihanovic.xyz,28
dimonoff.com,dimonoff.com,28
nwl.cc,nwl.cc,28
kvaser.com,kvaser.com,28
gocontroll.com,gocontroll.com,27
I-love.SAKURA.ne.jp,I-love.SAKURA.ne.jp,27
swemel.ru,swemel.ru,27
fiberby.net,fiberby.net,27
cknow.org,cknow.org,27
amazon.co.uk,amazon.co.uk,27
stgolabs.net,stgolabs.net,26
toxicpanda.com,toxicpanda.com,26
users.sourceforge.net,users.sourceforge.net,26
kontron.de,kontron.de,26
raspberrypi.com,raspberrypi.com,25
morsemicro.com,morsemicro.com,25
ddn.com,ddn.com,25
subdimension.ro,subdimension.ro,25
huaqin.corp-partner.google.com,huaqin.corp-partner.google.com,25
Intel.com,Intel.com,25
daynix.com,daynix.com,25
kemnade.info,kemnade.info,24
mojatatu.com,mojatatu.com,24
netfilter.org,netfilter.org,24
mev.co.uk,mev.co.uk,24
cqsoftware.com.cn,cqsoftware.com.cn,24
linux.spacemit.com,linux.spacemit.com,23
amazon.de,amazon.de,23
endrift.com,endrift.com,23
manguebit.com,manguebit.com,23
iopsys.eu,iopsys.eu,22
richtek.com,richtek.com,22
narfation.org,narfation.org,22
mentallysanemainliners.org,mentallysanemainliners.org,22
zju.edu.cn,zju.edu.cn,21
bur.io,bur.io,21
ee.iitb.ac.in,ee.iitb.ac.in,21
siliconsignals.io,siliconsignals.io,21
iogearbox.net,iogearbox.net,21
freeshell.de,freeshell.de,21
cmpxchg.org,cmpxchg.org,21
jrife.io,jrife.io,21
sartura.hr,sartura.hr,20
ibm.com,ibm.com,20
dubeyko.com,dubeyko.com,20
solid-run.com,solid-run.com,20
wp.pl,wp.pl,20
gateworks.com,gateworks.com,20
liebherr.com,liebherr.com,20
nfschina.com,NFSChina,20
sys-base.io,sys-base.io,20
kolumbus.fi,kolumbus.fi,20
seu.edu.cn,seu.edu.cn,19
tuxedocomputers.com,tuxedocomputers.com,19
alliedtelesis.co.nz,alliedtelesis.co.nz,19
surriel.com,surriel.com,19
net-swift.com,net-swift.com,19
mt.com,mt.com,19
fastly.com,fastly.com,19
easystack.cn,easystack.cn,18
fintech.ru,fintech.ru,18
packett.cool,packett.cool,18
nuvoton.com,nuvoton.com,18
geanix.com,geanix.com,18
xry111.site,xry111.site,17
micron.com,micron.com,17
icenowy.me,icenowy.me,17
eswincomputing.com,eswincomputing.com,17
radxa.com,radxa.com,17
pigmoral.tech,pigmoral.tech,17
aol.com,aol.com,17
salutedevices.com,salutedevices.com,17
HansenPartnership.com,HansenPartnership.com,17
exactco.de,exactco.de,16
oppo.com,OPPO,16
paragon-software.com,paragon-software.com,16
cybernetics.com,cybernetics.com,16
tdk.com,tdk.com,16
fau.de,fau.de,16
orange.fr,orange.fr,16
squebb.ca,squebb.ca,15
lixiang.com,lixiang.com,15
andestech.com,andestech.com,15
o2.pl,o2.pl,15
trager.us,trager.us,15
pf.is.s.u-tokyo.ac.jp,pf.is.s.u-tokyo.ac.jp,15
maowtm.org,maowtm.org,14
chinatelecom.cn,China Telecom,14
126.com,126.com,14
svanheule.net,svanheule.net,14
mandelbit.com,mandelbit.com,14
honor.com,honor.com,14
efficios.com,efficios.com,14
rong.moe,rong.moe,13
cadence.com,cadence.com,13
leap-io-kernel.com,leap-io-kernel.com,13
postmarketos.org,postmarketos.org,13
ljones.dev,ljones.dev,13
didiglobal.com,didiglobal.com,13
onurozkan.dev,onurozkan.dev,13
smankusors.com,smankusors.com,13
manjaro.org,manjaro.org,13
socionext.com,socionext.com,13
oldschoolsolutions.biz,oldschoolsolutions.biz,13
redadmin.org,redadmin.org,12
cse.iitm.ac.in,cse.iitm.ac.in,12
foxmail.com,foxmail.com,12
cjdns.fr,cjdns.fr,12
simonwunderlich.de,simonwunderlich.de,12
posteo.de,posteo.de,12
1wt.eu,1wt.eu,12
riseup.net,riseup.net,12
citrix.com,citrix.com,12
emfend.at,emfend.at,12
mit.edu,mit.edu,12
coasia.com,coasia.com,12
nokia-bell-labs.com,nokia-bell-labs.com,12
axiado.com,axiado.com,12
mssola.com,mssola.com,11
marek.ca,marek.ca,11
cestc.cn,cestc.cn,11
kaspersky.com,kaspersky.com,11
omp.ru,omp.ru,11
listout.xyz,listout.xyz,11
uliege.be,uliege.be,11
c64.rulez.org,c64.rulez.org,11
inmusicbrands.com,inmusicbrands.com,11
brighamcampbell.com,brighamcampbell.com,11
leica-geosystems.com,leica-geosystems.com,11
jiaxyga.com,jiaxyga.com,11
asahilina.net,asahilina.net,11
ite.com.tw,ite.com.tw,11
nokia.com,nokia.com,10
isrc.iscas.ac.cn,isrc.iscas.ac.cn,10
aosc.io,aosc.io,10
lge.com,lge.com,10
hartkopp.net,hartkopp.net,10
tecnico.ulisboa.pt,tecnico.ulisboa.pt,10
starfivetech.com,starfivetech.com,10
medip.dev,medip.dev,10
tq-group.com,tq-group.com,10
digiteqautomotive.com,digiteqautomotive.com,10
tomeuvizoso.net,tomeuvizoso.net,10
estudante.ufscar.br,estudante.ufscar.br,10
cyyself.name,cyyself.name,10
squashfs.org.uk,squashfs.org.uk,10
cyphar.com,cyphar.com,10
arri.de,arri.de,10
buenzli.dev,buenzli.dev,10
linux.vnet.ibm.com,linux.vnet.ibm.com,10
dxuuu.xyz,dxuuu.xyz,10
nabijaczleweli.xyz,nabijaczleweli.xyz,9
hpe.com,hpe.com,9
ovn.org,ovn.org,9
fnnas.com,fnnas.com,9
crpt.ru,crpt.ru,9
mxic.com.tw,mxic.com.tw,9
6wind.com,6wind.com,9
infineon.com,infineon.com,9
garmin.com,garmin.com,9
bell.net,bell.net,9
shopee.com,shopee.com,9
cab.de,cab.de,9
netcube.li,netcube.li,9
genesyslogic.com.tw,genesyslogic.com.tw,9
hust.edu.cn,hust.edu.cn,9
wetzel-home.de,wetzel-home.de,9
lenovo.com,Lenovo,9
etsalapatis.com,etsalapatis.com,9
mobileye.com,mobileye.com,9
protonic.nl,protonic.nl,9
strace.io,strace.io,9
cutebit.org,cutebit.org,9
emlix.com,emlix.com,9
asu.edu,asu.edu,8
columbia.edu,columbia.edu,8
awinic.com,awinic.com,8
rowland.harvard.edu,rowland.harvard.edu,8
schaufler-ca.com,schaufler-ca.com,8
canb.auug.org.au,canb.auug.org.au,8
0x0f.com,0x0f.com,8
est.tech,est.tech,8
oss.tenstorrent.com,oss.tenstorrent.com,8
hammernet.be,hammernet.be,8
kzalloc.com,kzalloc.com,8
einfochips.com,einfochips.com,8
trvn.ru,trvn.ru,8
openai.com,openai.com,8
molgen.mpg.de,molgen.mpg.de,8
willsroot.io,willsroot.io,8
altlinux.org,altlinux.org,8
everest-semi.com,everest-semi.com,8
hadess.net,hadess.net,8
Red54.com,Red54.com,8
sipsolutions.net,sipsolutions.net,8
engleder-embedded.com,engleder-embedded.com,8
fossekall.de,fossekall.de,8
yandex-team.ru,yandex-team.ru,7
irl.hu,irl.hu,7
joshua.hu,joshua.hu,7
opinsys.com,opinsys.com,7
cse.ust.hk,cse.ust.hk,7
zx2c4.com,zx2c4.com,7
nod.at,nod.at,7
rootcommit.com,rootcommit.com,7
korsgaard.com,korsgaard.com,7
prodrive-technologies.com,prodrive-technologies.com,7
qti.qualcomm.com,qti.qualcomm.com,7
josie.lol,josie.lol,7
wbinvd.org,wbinvd.org,7
chainsx.cn,chainsx.cn,7
zetier.com,zetier.com,7
raptorengineering.com,raptorengineering.com,7
garyguo.net,garyguo.net,7
mleia.com,mleia.com,7
jacekk.info,jacekk.info,7
siemens-energy.com,siemens-energy.com,7
maciej.szmigiero.name,maciej.szmigiero.name,7
free.fr,free.fr,7
wolfvision.net,wolfvision.net,7
triplefau.lt,triplefau.lt,7
ssi.gouv.fr,ssi.gouv.fr,7
outer-limits.org,outer-limits.org,7
wkennington.com,wkennington.com,7
arka.org,arka.org,7
chipsnmedia.com,chipsnmedia.com,7
pen.gy,pen.gy,7
ACULAB.COM,ACULAB.COM,7
synology.com,synology.com,6
buffet.re,buffet.re,6
sigxcpu.org,sigxcpu.org,6
somainline.org,somainline.org,6
secunet.com,secunet.com,6
orcam.me.uk,orcam.me.uk,6
alpha.franken.de,alpha.franken.de,6
nutanix.com,nutanix.com,6
jaguarmicro.com,jaguarmicro.com,6
harin.net,harin.net,6
thundersoft.com,thundersoft.com,6
gms.tku.edu.tw,gms.tku.edu.tw,6
h-partners.com,h-partners.com,6
xv97.com,xv97.com,6
techsingularity.net,techsingularity.net,6
de.bosch.com,de.bosch.com,6
bamaicloud.com,bamaicloud.com,6
codewreck.org,codewreck.org,6
vinarskis.com,vinarskis.com,6
savoirfairelinux.com,savoirfairelinux.com,6
Oracle.com,Oracle.com,6
htecgroup.com,htecgroup.com,6
iencinas.com,iencinas.com,6
goldelico.com,goldelico.com,6
libre.computer,libre.computer,6
actia.se,actia.se,6
husqvarnagroup.com,husqvarnagroup.com,6
ozlabs.org,ozlabs.org,6
